通用商品編號(Common product number),尺寸名稱(Size name),尺寸詳細(Size,description),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,,,,,,,
MD119E,L,總長,68,肩寬,47,身寬,52.5,袖長,22.5,,,,,,,,,,,,,,,,,,
MD119E,M,總長,66.5,肩寬,46,身寬,50.5,袖長,20.5,,,,,,,,,,,,,,,,,,
MD119E,S,總長,66,肩寬,44,身寬,46.5,袖長,19,,,,,,,,,,,,,,,,,,
MD119E,XS,總長,65,肩寬,40,身寬,44,袖長,18,,,,,,,,,,,,,,,,,,
MD147S,XS,胸寬,52.5,袖長,20.5,衣長,67,袖寬,18.8,下擺寬,52.5,肩寬,47.5,,,,,,,,,,,,,,
MD147S,S,胸寬,55,袖長,21.5,衣長,68,袖寬,19.5,下擺寬,55,肩寬,48.7,,,,,,,,,,,,,,
MD147S,M,胸寬,57.5,袖長,22.5,衣長,69,袖寬,20.2,下擺寬,57.5,肩寬,49.9,,,,,,,,,,,,,,
WK094R,S,袖長,60.5,肩寬,33,胸寬,49.5,腰寬,48,下擺寬,46,衣長,40.5,袖寬,10,,,,,,,,,,,,
WK094R,XS,袖長,60.5,肩寬,33,胸寬,47,腰寬,46,下擺寬,44,衣長,40.5,袖寬,9.5,,,,,,,,,,,,
WT010T,Size 10,腰寬,36,前檔長,30,臀寬,42.5,大腿寬,27,外腿長,93.5,膝寬,26,內腿長,66,褲管寬,17,,,,,,,,,,
WT010T,Size 8,腰寬,33,前檔長,29.5,臀寬,40,大腿寬,27.5,外腿長,93,膝寬,29,內腿長,66,褲管寬,17,,,,,,,,,,
WT010T,Size 6,腰寬,32,前檔長,28,臀寬,42.5,大腿寬,25,外腿長,92.5,膝寬,27,內腿長,65,褲管寬,17,,,,,,,,,,
WT010T,Size 4,腰寬,32,前檔長,28,臀寬,38.5,大腿寬,25,外腿長,93,膝寬,27,內腿長,67,褲管寬,16.5,,,,,,,,,,
WT010T,Size 2,腰寬,31,前檔長,27.5,臀寬,37.5,大腿寬,23.5,外腿長,92,膝寬,22,內腿長,66.5,褲管寬,15.5,,,,,,,,,,
WM412T,Size 6,,,,,,,,,,,,,,,,,,,,,,,,,,
WM412T,Size 4,,,,,,,,,,,,,,,,,,,,,,,,,,
WM412T,Size 6,,,,,,,,,,,,,,,,,,,,,,,,,,
WM412T,Size 4,,,,,,,,,,,,,,,,,,,,,,,,,,
WD464T,L,上衣胸寬,19,上衣腰寬,60.5,上衣臀寬,39.5,上衣下擺寬,56,上衣長,56.5,上衣肩寬,55.5,上衣袖長,47.5,上衣袖寬,10.5,洋裝胸寬,33,洋裝腰寬,34,洋裝臀寬,34,洋裝下擺寬,34,洋裝長,107
WD464T,M,上衣胸寬,17,上衣腰寬,60.5,上衣臀寬,33.5,上衣下擺寬,50,上衣長,51.5,上衣肩寬,49.5,上衣袖長,43.5,上衣袖寬,11.5,洋裝胸寬,31,洋裝腰寬,33,洋裝臀寬,34,洋裝下擺寬,34,洋裝長,105.5
WD464T,S,上衣胸寬,16,上衣腰寬,59,上衣臀寬,32.5,上衣下擺寬,48,上衣長,46.5,上衣肩寬,46,上衣袖長,42.5,上衣袖寬,9.5,洋裝胸寬,28,洋裝腰寬,33,洋裝臀寬,35,洋裝下擺寬,34,洋裝長,103
WD464T,XS,上衣胸寬,15.5,上衣腰寬,56.5,上衣臀寬,32,上衣下擺寬,46,上衣長,46.5,上衣肩寬,45,上衣袖長,43,上衣袖寬,8.5,洋裝胸寬,27,洋裝腰寬,33,洋裝臀寬,34,洋裝下擺寬,34,洋裝長,102.5